word,confidence,duration,sentence,audio_file,source,license
албумот,0.9978,0.441,Албумот може да го преслушате и преземете овде.,common_voice_mk_39924925.mp3,Common Voice 17.0 MK,CC-0
александар,0.9491,0.622,Александар ја искористил таа ситуација за заземање нови области.,common_voice_mk_39774790.mp3,Common Voice 17.0 MK,CC-0
александра,0.9085,0.642,Александра Јанева со фановите направија нова верзија на „Еве ме пак“,common_voice_mk_39825415.mp3,Common Voice 17.0 MK,CC-0
алигаторска,0.9007,0.783,"Ништо не е, рече дамата со чантата алигаторска.",common_voice_mk_39663953.mp3,Common Voice 17.0 MK,CC-0
алишта,0.9701,0.401,Белите алишта не беа пеглани поради астмата на жената.,common_voice_mk_39688531.mp3,Common Voice 17.0 MK,CC-0
алкохол,0.9993,0.502,Не си доволно стар за да смееш да пиеш алкохол.,common_voice_mk_39900369.mp3,Common Voice 17.0 MK,CC-0
алкохоличар,0.8980,0.845,Тој е алкохоличар.,common_voice_mk_39790471.mp3,Common Voice 17.0 MK,CC-0
алузиите,0.9328,0.662,Алузиите и нијансите би ја ослабиле бруталноста на шокот.,common_voice_mk_39726223.mp3,Common Voice 17.0 MK,CC-0
ама,0.9986,0.240,Арно ама по некое време некој затропал на вратата.,common_voice_mk_39774914.mp3,Common Voice 17.0 MK,CC-0
аманда,0.9962,0.462,Аманда трча позади една дина и еден од нас ја следи.,common_voice_mk_39714653.mp3,Common Voice 17.0 MK,CC-0
амбасадата,0.9997,0.702,Агентот тајно влезе во амбасадата преку покривот.,common_voice_mk_39825324.mp3,Common Voice 17.0 MK,CC-0
амбиентален,0.9052,0.722,Нивната музика може да се опише како амбиентален инди рок или пост-рок.,common_voice_mk_39792929.mp3,Common Voice 17.0 MK,CC-0
американската,0.9997,0.802,Серијата го прикажала првиот бакнеж меѓу две различни раси на американската телевизија.,common_voice_mk_39790296.mp3,Common Voice 17.0 MK,CC-0
американски,0.9998,0.722,Тоа можеби е најзлобниот американски расказ кој некогаш бил напишан.,common_voice_mk_39790515.mp3,Common Voice 17.0 MK,CC-0
аморални,0.9979,0.521,"Од двајцата аморални љубовници, жената е таа што никогаш не се кае.",common_voice_mk_39761501.mp3,Common Voice 17.0 MK,CC-0
ана,0.9991,0.221,"Ана разбра дека кога си вљубен во нешто бескрајно, и самиот стануваш бескраен.",common_voice_mk_39825427.mp3,Common Voice 17.0 MK,CC-0
анаграм,0.9693,0.481,Во еден анаграм сите елементи постојат во симултана поврзаност.,common_voice_mk_39674446.mp3,Common Voice 17.0 MK,CC-0
ангел,0.7772,0.401,"Колку ја сакам, таа е мојата миленица, мојот ангел.",common_voice_mk_39699449.mp3,Common Voice 17.0 MK,CC-0
ангелот,0.9915,0.481,Да не е ангелот пратен од рајот.,common_voice_mk_39775125.mp3,Common Voice 17.0 MK,CC-0
англиски,0.9996,0.501,Сите прикажани филмови се со превод на англиски и македонски јазик.,common_voice_mk_39709322.mp3,Common Voice 17.0 MK,CC-0
англија,0.6001,0.321,Го испраќа Хамлет во Англија со неговите придружници.,common_voice_mk_39829363.mp3,Common Voice 17.0 MK,CC-0
анестезиолог,0.9461,0.883,Анестезиолог - човек кој ја лула будноста.,common_voice_mk_39702208.mp3,Common Voice 17.0 MK,CC-0
анестетик,0.9898,0.661,Во болницата му дале некој силен анестетик и тој не чувствувал ништо.,common_voice_mk_39774897.mp3,Common Voice 17.0 MK,CC-0
анестетици,0.9991,0.702,Овие лекови се анестетици и кога се пијат треба да се мирува.,common_voice_mk_39790369.mp3,Common Voice 17.0 MK,CC-0
анонимни,0.9792,0.522,Размислете за елиминирање на анонимни коментари.,common_voice_mk_39752618.mp3,Common Voice 17.0 MK,CC-0
антарктикот,0.9996,0.764,Антарктикот е најладното место на Земјата.,common_voice_mk_39725896.mp3,Common Voice 17.0 MK,CC-0
антигона,0.9975,0.581,"Антигона дејствува, но што е нејзиното дело?",common_voice_mk_39775015.mp3,Common Voice 17.0 MK,CC-0
антиципира,0.9987,0.642,"Авангардата тоа го потврдува и ја антиципира постмодерната која, пак, е критика на модерната.",common_voice_mk_39767779.mp3,Common Voice 17.0 MK,CC-0
античката,0.9480,0.582,Затоа што е прашање од типот на оние кои ги третира античката трагедија.,common_voice_mk_39681270.mp3,Common Voice 17.0 MK,CC-0
антологии,0.9995,0.661,"Неговата поезија е застапена во повеќе антологии, песните му се преведени на неколку јазици.",common_voice_mk_39726024.mp3,Common Voice 17.0 MK,CC-0
антологија,0.8963,0.562,"Ако влезе во читанка, сака и во антологија.",common_voice_mk_39768575.mp3,Common Voice 17.0 MK,CC-0
апатија,0.8595,0.502,Ама со мене завладеа некаква мрзеливост и апатија.,common_voice_mk_39745220.mp3,Common Voice 17.0 MK,CC-0
апатијата,0.9517,0.621,Дали можеби аполитичноста и апатијата кај останатите е она што треба да се промени?,common_voice_mk_39774852.mp3,Common Voice 17.0 MK,CC-0
аплаудираа,0.9355,0.762,Дворјаните аплаудираа во име на таа прекрасна судбина.,common_voice_mk_39709946.mp3,Common Voice 17.0 MK,CC-0
апокалиптичен,0.9967,0.943,Вашиот нов филм некои го етикетираат како апокалиптичен во тој гангстерски микроконтекст.,common_voice_mk_39852409.mp3,Common Voice 17.0 MK,CC-0
аполитичноста,0.9880,0.921,Дали можеби аполитичноста и апатијата кај останатите е она што треба да се промени?,common_voice_mk_39774852.mp3,Common Voice 17.0 MK,CC-0
апсењето,0.4533,0.602,Едно од нив сугерира црна облека за да се избегне апсењето.,common_voice_mk_39769665.mp3,Common Voice 17.0 MK,CC-0
апсида,0.9978,0.521,Му рекол параспурот на болничарот-ѕидар што го заѕидал во апсида.,common_voice_mk_39790346.mp3,Common Voice 17.0 MK,CC-0
апсолутно,0.9390,0.642,Нашата работа е да дадеме нови значења и посебни призвуци на апсолутно обичните зборови.,common_voice_mk_39748636.mp3,Common Voice 17.0 MK,CC-0
апстракцијата,0.9200,0.901,"Во апстракцијата, ние инстинктивно бараме познати модели, препознатливи облици и фигури.",common_voice_mk_39674471.mp3,Common Voice 17.0 MK,CC-0
аптека,0.7480,0.482,Песната е нешто што се продава во книжарница или во аптека.,common_voice_mk_39813383.mp3,Common Voice 17.0 MK,CC-0
аритоновата,0.9968,0.742,"Спасот, всушност е Аритоновата жена, која ретко се појавувала.",common_voice_mk_40037254.mp3,Common Voice 17.0 MK,CC-0
арно,0.9984,0.321,Арно ама по некое време некој затропал на вратата.,common_voice_mk_39774914.mp3,Common Voice 17.0 MK,CC-0
археолошко,0.9253,0.763,Струмица има големо археолошко богатство.,common_voice_mk_39774825.mp3,Common Voice 17.0 MK,CC-0
асимилација,0.8914,0.741,"Би требало да се тежнее кон асимилација, а не кон прилагодување.",common_voice_mk_39745360.mp3,Common Voice 17.0 MK,CC-0
астмата,0.7707,0.462,Белите алишта не беа пеглани поради астмата на жената.,common_voice_mk_39688531.mp3,Common Voice 17.0 MK,CC-0
астматична,0.7870,0.721,"Ваква каква што е сега, книгата е да се изразам така премногу астматична.",common_voice_mk_39671214.mp3,Common Voice 17.0 MK,CC-0
астрономи,0.9824,0.662,"Кога би имале посилна глава и повеќе вкус, би биле астрономи.",common_voice_mk_39678305.mp3,Common Voice 17.0 MK,CC-0
атмосфера,0.9998,0.602,Гасовите и вулканските активности ја создале првобитната атмосфера.,common_voice_mk_39709518.mp3,Common Voice 17.0 MK,CC-0
ај,0.8227,0.180,Ај објасни ми како тоа еден маж сака жена.,common_voice_mk_39763548.mp3,Common Voice 17.0 MK,CC-0
ајварот,0.9582,0.501,Ајварот е најчеста храна на студентите.,common_voice_mk_39689979.mp3,Common Voice 17.0 MK,CC-0
ајде,0.9928,0.240,Ајде девојки фатете се за веслата.,common_voice_mk_39825416.mp3,Common Voice 17.0 MK,CC-0
ајдучка,0.7896,0.482,Отидов на планина и полнев торби со ајдучка трева.,common_voice_mk_39777183.mp3,Common Voice 17.0 MK,CC-0
баба,0.9692,0.301,"Врзи прст да најдеш лек, секоја баба ќе ти баи како што знаи.",common_voice_mk_39726218.mp3,Common Voice 17.0 MK,CC-0
бабарога,0.9743,0.581,Ќе ве изведат пред лицето на правдата то ест лично пред главната бабарога!,common_voice_mk_39776275.mp3,Common Voice 17.0 MK,CC-0
баби,0.7300,0.321,Не може да се собираат баби и жаби.,common_voice_mk_39688529.mp3,Common Voice 17.0 MK,CC-0
баварија,0.9861,0.601,"Ова пиво е произведено во Германија, поточно во Баварија.",common_voice_mk_39664234.mp3,Common Voice 17.0 MK,CC-0
бавна,0.9840,0.421,Филмот се состои од една многу бавна снимка на која едно дете вози велосипед.,common_voice_mk_39701233.mp3,Common Voice 17.0 MK,CC-0
бавно,0.9983,0.421,"Ззз лета така, бавно ко низ сон, но не е страшно, туку е пријатно.",common_voice_mk_39774847.mp3,Common Voice 17.0 MK,CC-0
баи,0.9861,0.301,"Врзи прст да најдеш лек, секоја баба ќе ти баи како што знаи.",common_voice_mk_39726218.mp3,Common Voice 17.0 MK,CC-0
бакна,0.9911,0.421,Потоа ме бакна и скокна под чизмата на прадедо ми.,common_voice_mk_39763438.mp3,Common Voice 17.0 MK,CC-0
бакнеж,0.9940,0.502,Речиси и да не постои филм без бакнеж.,common_voice_mk_39790384.mp3,Common Voice 17.0 MK,CC-0
бакнувам,0.9992,0.563,"Секоја вечер ве бакнувам, што е проблемот?",common_voice_mk_39852312.mp3,Common Voice 17.0 MK,CC-0
бакнување,0.9795,0.622,Овој филмски пар своето бакнување во сите пози го пренел и во вистинскиот живот.,common_voice_mk_39874828.mp3,Common Voice 17.0 MK,CC-0
бакрорези,0.8917,0.781,Уште ме покажуваа пожолтените бакрорези во нежните фолијанти.,common_voice_mk_39874684.mp3,Common Voice 17.0 MK,CC-0
бакшиш,0.9880,0.541,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0
балансираат,0.9985,0.681,"Речениците во состишјата се балансираат едната со другата, стремат кон строга, контрастна рамнотежа.",common_voice_mk_39702256.mp3,Common Voice 17.0 MK,CC-0
балет,0.9264,0.382,Пројавил интерес за балет и за ликовна уметност.,common_voice_mk_39695867.mp3,Common Voice 17.0 MK,CC-0
балетот,0.9965,0.501,Марија се фасцинираше од балетот на мраз на претставата Оревокршачка.,common_voice_mk_39839617.mp3,Common Voice 17.0 MK,CC-0
балкон,0.9237,0.382,Пораснав во куќа со прозорец и балкон кој гледа во центарот на светот.,common_voice_mk_39787547.mp3,Common Voice 17.0 MK,CC-0
баналност,0.9817,0.642,"Толку многу значење, но и баналност истовремено.",common_voice_mk_39774878.mp3,Common Voice 17.0 MK,CC-0
банда,0.9996,0.381,"Плашејќи се за нејзината безбедност, тој ја крие врската од неговата банда.",common_voice_mk_39706732.mp3,Common Voice 17.0 MK,CC-0
банкарски,0.9299,0.561,Пензионираниот банкарски чиновник покажува на телевизија магнетофонски ленти со снимени гласови на умрените.,common_voice_mk_39776333.mp3,Common Voice 17.0 MK,CC-0
бар,0.7312,0.221,Да сум сит бар до наредното видување.,common_voice_mk_39715011.mp3,Common Voice 17.0 MK,CC-0
бара,0.9962,0.301,Возењето е задача која бара концентрација.,common_voice_mk_39776242.mp3,Common Voice 17.0 MK,CC-0
бараат,0.9986,0.422,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0
барав,0.9990,0.341,Потоа барав луѓе кои не се читаат по редовите и колоните.,common_voice_mk_39699469.mp3,Common Voice 17.0 MK,CC-0
баравте,0.9716,0.564,Му кажавме зошто го баравте.,common_voice_mk_39813362.mp3,Common Voice 17.0 MK,CC-0
бараката,0.8666,0.501,Го остави елекот од униформата на земја и внимателно се приближи до бараката.,common_voice_mk_39831410.mp3,Common Voice 17.0 MK,CC-0
барал,0.9927,0.340,"Како било можно жртвувањето од олкави размери, зошто комунизмот го барал тоа?",common_voice_mk_39774727.mp3,Common Voice 17.0 MK,CC-0
барам,0.9467,0.361,"Ја загубив желбата по она што го барам, барајќи го она што го пожелувам.",common_voice_mk_39774713.mp3,Common Voice 17.0 MK,CC-0
бараме,0.9989,0.440,"Во апстракцијата, ние инстинктивно бараме познати модели, препознатливи облици и фигури.",common_voice_mk_39674471.mp3,Common Voice 17.0 MK,CC-0
барајќи,0.9354,0.522,"Ја загубив желбата по она што го барам, барајќи го она што го пожелувам.",common_voice_mk_39774713.mp3,Common Voice 17.0 MK,CC-0
барање,0.9097,0.441,Тој час на учениците им дадов задолжение да напишат барање.,common_voice_mk_39767828.mp3,Common Voice 17.0 MK,CC-0
барем,0.9942,0.321,"Барем така вика овој копуков, за кој ти зборам.",common_voice_mk_39726050.mp3,Common Voice 17.0 MK,CC-0
барут,0.8811,0.381,"Врвам така низ буките, засмрдени од барут и од раскопана земја.",common_voice_mk_39908785.mp3,Common Voice 17.0 MK,CC-0
баш,0.9989,0.261,"Сакав да ја довикнам, да ѝ пријдам, баш онака како што правев тогаш.",common_voice_mk_39663824.mp3,Common Voice 17.0 MK,CC-0
бајка,0.9872,0.421,Ревносно како лик во бајка едно девојче скока на улицата пред нашата куќа.,common_voice_mk_39886348.mp3,Common Voice 17.0 MK,CC-0
бајки,0.9963,0.361,"По првата успешна серија, сликарот започнал да ги истражува и оние другите бајки, холивудските.",common_voice_mk_39709170.mp3,Common Voice 17.0 MK,CC-0
бајковито,0.9921,0.683,Во заплетот на оваа драма навистина има нешто бајковито.,common_voice_mk_39867477.mp3,Common Voice 17.0 MK,CC-0
бе,0.9304,0.140,"Овие што биле внатре, а бе онемеле од чудо.",common_voice_mk_40000628.mp3,Common Voice 17.0 MK,CC-0
беа,0.9921,0.220,"Беа измамени од келнерот, кој потоа ги поздрави со староримски поздрав.",common_voice_mk_39702228.mp3,Common Voice 17.0 MK,CC-0
бебе,0.8910,0.281,Како да му објасниш на едномесечно бебе дека не е здраво да гнете навечер.,common_voice_mk_39829155.mp3,Common Voice 17.0 MK,CC-0
бебиња,0.6861,0.461,Презриво ги клоцна со ногата велејќи дека се за бебиња.,common_voice_mk_39781488.mp3,Common Voice 17.0 MK,CC-0
бев,0.9995,0.221,Мислам дека сѐ уште сум оној истиот каков што отсекогаш бев.,common_voice_mk_39790382.mp3,Common Voice 17.0 MK,CC-0
бевме,0.9722,0.341,"Јас и моите соработници бевме инженери, физичари, хемичари и математичари.",common_voice_mk_39852211.mp3,Common Voice 17.0 MK,CC-0
бегав,0.8169,0.342,"Не бегав, полека си отидов.",common_voice_mk_39678321.mp3,Common Voice 17.0 MK,CC-0
бегаш,0.9984,0.361,"Наместо да бегаш од стварноста, нурни се во месото на светот.",common_voice_mk_40000647.mp3,Common Voice 17.0 MK,CC-0
бегство,0.8626,0.481,Организаторите велат дека оваа изложба нуди бегство од безумниот ескапизам на современото општество.,common_voice_mk_39790423.mp3,Common Voice 17.0 MK,CC-0
бедни,0.8432,0.421,Па зарем ние можеме и смееме да умираме вака јадни бедни поразени?,common_voice_mk_39709353.mp3,Common Voice 17.0 MK,CC-0
бедним,0.9964,0.441,"Сосема нормален човек сум, раб божји и раб бедним на земјава.",common_voice_mk_39776336.mp3,Common Voice 17.0 MK,CC-0
бедно,0.9990,0.341,Беше родена во бедно семејство.,common_voice_mk_39752753.mp3,Common Voice 17.0 MK,CC-0
бедра,0.9997,0.421,Би ги пуштил моите листови да се лозат низ нејзините бедра.,common_voice_mk_39790655.mp3,Common Voice 17.0 MK,CC-0
без,0.9999,0.221,Се солидализирам со сите без оглед на класата.,common_voice_mk_39852183.mp3,Common Voice 17.0 MK,CC-0
безбедност,0.9959,0.684,Надзорот не секогаш носи безбедност.,common_voice_mk_39764914.mp3,Common Voice 17.0 MK,CC-0
безбедноста,0.9954,0.745,Ќе ти ја гарантира безбедноста.,common_voice_mk_39748336.mp3,Common Voice 17.0 MK,CC-0
безброј,0.9836,0.481,"Облаците експлодираа, положувајќи безброј бели икри на студеното лице на земјата.",common_voice_mk_39825359.mp3,Common Voice 17.0 MK,CC-0
беззаконие,0.9666,0.741,Велиме дека моментално најопасниот криминал е целосното беззаконие на модерниот философ.,common_voice_mk_39900587.mp3,Common Voice 17.0 MK,CC-0
безмерен,0.9981,0.661,Многу свет ќе спаселе од безмерен хиперболичен сленг.,common_voice_mk_39701234.mp3,Common Voice 17.0 MK,CC-0
безначајно,0.9848,0.581,"Сексот без љубов е безначајно искуство, ама како за безначајно искуство е многу добар.",common_voice_mk_39713505.mp3,Common Voice 17.0 MK,CC-0
безобразно,0.9985,0.741,"Ноќта не само што беше неусетно топла, стана и безобразно непријатна.",common_voice_mk_39775151.mp3,Common Voice 17.0 MK,CC-0
безумниот,0.9990,0.722,Организаторите велат дека оваа изложба нуди бегство од безумниот ескапизам на современото општество.,common_voice_mk_39790423.mp3,Common Voice 17.0 MK,CC-0
бела,0.9990,0.341,"Зелката има кошули триста, секоја бела, секоја чиста.",common_voice_mk_39900580.mp3,Common Voice 17.0 MK,CC-0
белетристика,0.8300,0.761,"Тој бил млад човек, но не и млад писател што пишува белетристика.",common_voice_mk_39695779.mp3,Common Voice 17.0 MK,CC-0
бели,0.9994,0.280,"Минуваат села, ниви, гледај, гледај бели стада, онде цути мак!",common_voice_mk_39825373.mp3,Common Voice 17.0 MK,CC-0
белината,0.9997,0.562,Зеде хартија и пенкало и зборовите почнаа да ја населуваат белината.,common_voice_mk_39790450.mp3,Common Voice 17.0 MK,CC-0
белите,0.9741,0.401,Белите алишта не беа пеглани поради астмата на жената.,common_voice_mk_39688531.mp3,Common Voice 17.0 MK,CC-0
бело,0.7503,0.301,Ја кренав слушалката и стиснав на големото бело копче.,common_voice_mk_39775171.mp3,Common Voice 17.0 MK,CC-0
белорусија,0.9697,0.682,Белорусија како своја официјална валута ја користи рубљата.,common_voice_mk_39845152.mp3,Common Voice 17.0 MK,CC-0
бендовите,0.9961,0.721,"Во публиката има сѐ повеќе жени, исто како и меѓу лидерите на бендовите.",common_voice_mk_39701574.mp3,Common Voice 17.0 MK,CC-0
бензинска,0.8905,0.562,На оваа бензинска пумпа постојат четири различни видови гориво.,common_voice_mk_39813286.mp3,Common Voice 17.0 MK,CC-0
бензинската,0.9921,0.661,Црквата е веднаш до бензинската пумпа.,common_voice_mk_39775110.mp3,Common Voice 17.0 MK,CC-0
бербер,0.9811,0.400,Разговорите на бербер се најнесоборлив доказ за тоа дека главите постојат заради косата.,common_voice_mk_39824506.mp3,Common Voice 17.0 MK,CC-0
бес,0.9675,0.341,"Јас би предложила да стартуваме, потоа да споделуваме и бол и бес.",common_voice_mk_39776284.mp3,Common Voice 17.0 MK,CC-0
бесконечен,0.8910,0.642,Нуклеарната фузија има потенцијал да обезбеди бесконечен извор на електрична енергија.,common_voice_mk_39695976.mp3,Common Voice 17.0 MK,CC-0
бескраен,0.8538,0.542,"Ана разбра дека кога си вљубен во нешто бескрајно, и самиот стануваш бескраен.",common_voice_mk_39825427.mp3,Common Voice 17.0 MK,CC-0
бескрајно,0.8843,0.562,"Ана разбра дека кога си вљубен во нешто бескрајно, и самиот стануваш бескраен.",common_voice_mk_39825427.mp3,Common Voice 17.0 MK,CC-0
бесмислени,0.9738,0.663,Подрумот беше голем и поделен на многу бесмислени простории.,common_voice_mk_39768986.mp3,Common Voice 17.0 MK,CC-0
бесмислено,0.9780,0.642,"Во поглед на филмот или радиото, на пример, прашањето за оригинал стана бесмислено.",common_voice_mk_39825429.mp3,Common Voice 17.0 MK,CC-0
бесмртните,0.8762,0.743,Водачи му беа бесмртните писатели од минатото.,common_voice_mk_39681157.mp3,Common Voice 17.0 MK,CC-0
бесно,0.9864,0.361,Твојата мајка врти со глава станува и на ова место бесно треска со вратата.,common_voice_mk_39922204.mp3,Common Voice 17.0 MK,CC-0
бесплатно,0.7844,0.641,Учеството е бесплатно и бројот на учесници не е ограничен.,common_voice_mk_39658657.mp3,Common Voice 17.0 MK,CC-0
бесцелен,0.6916,0.582,Разговорот станува бесцелен и предлагам да сварам чај.,common_voice_mk_39726083.mp3,Common Voice 17.0 MK,CC-0
беше,0.9999,0.281,Тоа беше пријатен разговор за нас.,common_voice_mk_39790390.mp3,Common Voice 17.0 MK,CC-0
би,0.9999,0.160,Би сакал да ја ослободам од појасот што ја дели на две.,common_voice_mk_39775172.mp3,Common Voice 17.0 MK,CC-0
библиотека,0.9052,0.623,Ти пишував за ракописот што го најдов во манастирската библиотека.,common_voice_mk_39702275.mp3,Common Voice 17.0 MK,CC-0
библиотеката,0.9992,0.742,"Нејзината другарка влегуваше во куќата, палеше цигара, стоеше хипнотизирано пред библиотеката.",common_voice_mk_39775028.mp3,Common Voice 17.0 MK,CC-0
библијата,0.9986,0.722,Библијата никаде јасно не издвојува одредена форма на брак.,common_voice_mk_39700998.mp3,Common Voice 17.0 MK,CC-0
бивши,0.9984,0.381,Се осеќам непријатно како сите мои бивши да се соберат во една соба.,common_voice_mk_39725838.mp3,Common Voice 17.0 MK,CC-0
бидам,0.9461,0.281,"Настојувам да пишувам искрено, да бидам искрена личност.",common_voice_mk_39701658.mp3,Common Voice 17.0 MK,CC-0
бидат,0.9997,0.301,Еден ден неполитичките интелектуалци од мојата земја ќе бидат испрашувани од најобичните наши сограѓани.,common_voice_mk_39779763.mp3,Common Voice 17.0 MK,CC-0
биде,0.9997,0.241,"Нема таква литература, а да биде врвна.",common_voice_mk_39790334.mp3,Common Voice 17.0 MK,CC-0
бидеме,0.9995,0.360,Но не можевме да бидеме сигурни дали се вечни.,common_voice_mk_39774911.mp3,Common Voice 17.0 MK,CC-0
бидете,0.9956,0.421,Сакате и вие со мене да бидете кум?,common_voice_mk_39728991.mp3,Common Voice 17.0 MK,CC-0
бидејќи,0.9960,0.381,Ова е уште повидливо бидејќи создава остар и неочекуван контраст со периодот што претходеше.,common_voice_mk_39790706.mp3,Common Voice 17.0 MK,CC-0
бизнис,0.8436,0.401,Мојот бизнис се потпира исклучиво врз мојот грб.,common_voice_mk_39702272.mp3,Common Voice 17.0 MK,CC-0
бил,0.9992,0.220,Тоа можеби е најзлобниот американски расказ кој некогаш бил напишан.,common_voice_mk_39790515.mp3,Common Voice 17.0 MK,CC-0
била,0.9997,0.281,"Насловната веднаш била заменета со друга, поприфатлива.",common_voice_mk_39839620.mp3,Common Voice 17.0 MK,CC-0
биле,0.9990,0.261,"Купувачите биле сиромашни, станот - мал, опкружувањето - католичко.",common_voice_mk_39774859.mp3,Common Voice 17.0 MK,CC-0
