word,sentence,audio_path,source,license,status
како,"Сакав да ја довикнам, да ѝ пријдам, баш онака како што правев тогаш.",common_voice_mk_39663824.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
што,"Сакав да ја довикнам, да ѝ пријдам, баш онака како што правев тогаш.",common_voice_mk_39663824.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ја,"Сакав да ја довикнам, да ѝ пријдам, баш онака како што правев тогаш.",common_voice_mk_39663824.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ќе,"Кога ќе пронајдете грешка во софтверот, пријавете ја.",common_voice_mk_39663889.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ја,"Кога ќе пронајдете грешка во софтверот, пријавете ја.",common_voice_mk_39663889.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
овој,"Вистина е, постојат мигови, како овој миг, кога изгледам речиси сосема обновено.",common_voice_mk_39663890.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
речиси,"Вистина е, постојат мигови, како овој миг, кога изгледам речиси сосема обновено.",common_voice_mk_39663890.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
како,"Вистина е, постојат мигови, како овој миг, кога изгледам речиси сосема обновено.",common_voice_mk_39663890.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
постојат,"Вистина е, постојат мигови, како овој миг, кога изгледам речиси сосема обновено.",common_voice_mk_39663890.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
како,"Како и да е, да останам таму би било непромислено.",common_voice_mk_39663917.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
начин,"Кога пајчето ги видело повторно, на чуден начин, се почувствувало несреќно.",common_voice_mk_39663921.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ги,"Кога пајчето ги видело повторно, на чуден начин, се почувствувало несреќно.",common_voice_mk_39663921.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,"Кога пајчето ги видело повторно, на чуден начин, се почувствувало несреќно.",common_voice_mk_39663921.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
со,"Ништо не е, рече дамата со чантата алигаторска.",common_voice_mk_39663953.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
нив,Земате неколку несреќни парови и до нив ставате навистина среќна и заљубена двојка.,common_voice_mk_39663955.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
музиката,Во тој миг музиката во ресторанот престана.,common_voice_mk_39663959.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
сите,Речиси сите кралеви во суштина се крадци.,common_voice_mk_39663960.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
речиси,Речиси сите кралеви во суштина се крадци.,common_voice_mk_39663960.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Речиси сите кралеви во суштина се крадци.,common_voice_mk_39663960.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ги,"Читајте ги предговорите на нашите антологии, да речеме на француски.",common_voice_mk_39663964.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
му,Потоа сточарите се наведнаа да му ја помрднат сенката на дедо ми.,common_voice_mk_39663975.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
потоа,Потоа сточарите се наведнаа да му ја помрднат сенката на дедо ми.,common_voice_mk_39663975.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ја,Потоа сточарите се наведнаа да му ја помрднат сенката на дедо ми.,common_voice_mk_39663975.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Потоа сточарите се наведнаа да му ја помрднат сенката на дедо ми.,common_voice_mk_39663975.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Тогаш убаво си седиш во кулата и си пишуваш закони за поданиците.,common_voice_mk_39663976.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
си,Тогаш убаво си седиш во кулата и си пишуваш закони за поданиците.,common_voice_mk_39663976.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Таа отиде да свари кафе и за кратко му се придружи.,common_voice_mk_39663978.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Таа отиде да свари кафе и за кратко му се придружи.,common_voice_mk_39663978.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
му,Таа отиде да свари кафе и за кратко му се придружи.,common_voice_mk_39663978.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
една,Не без напор една кронопија успеа да воспостави топломер на животот.,common_voice_mk_39664005.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Заинтересираните треба да пратат кратка биографија и идеја за филм за граѓански промени.,common_voice_mk_39664006.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
треба,Заинтересираните треба да пратат кратка биографија и идеја за филм за граѓански промени.,common_voice_mk_39664006.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
неговиот,Само во неговиот случај музата секогаш е жена.,common_voice_mk_39664007.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
само,Само во неговиот случај музата секогаш е жена.,common_voice_mk_39664007.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
му,"Лесно беше да се види на радиограмот, дека коските му се скршени.",common_voice_mk_39664008.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
дека,"Лесно беше да се види на радиограмот, дека коските му се скршени.",common_voice_mk_39664008.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
беше,"Лесно беше да се види на радиограмот, дека коските му се скршени.",common_voice_mk_39664008.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,"Лесно беше да се види на радиограмот, дека коските му се скршени.",common_voice_mk_39664008.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
овој,Претходниот дел е достапен на овој линк.,common_voice_mk_39664106.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
нема,Нема интернет.,common_voice_mk_39664107.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
со,Вид копје со широк шилец на два реза.,common_voice_mk_39664137.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
си,Затоа ти самиот си последното нешто до кое држиш.,common_voice_mk_39664141.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
кое,Затоа ти самиот си последното нешто до кое држиш.,common_voice_mk_39664141.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Знам што мислиш за мене.,common_voice_mk_39664160.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
што,Знам што мислиш за мене.,common_voice_mk_39664160.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,"После сѐ што направивме за него господинот трча, а овде лудилото допрва почнува.",common_voice_mk_39664185.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
што,"После сѐ што направивме за него господинот трча, а овде лудилото допрва почнува.",common_voice_mk_39664185.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
лудилото,"После сѐ што направивме за него господинот трча, а овде лудилото допрва почнува.",common_voice_mk_39664185.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
после,"После сѐ што направивме за него господинот трча, а овде лудилото допрва почнува.",common_voice_mk_39664185.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Премногу храна се фрла.,common_voice_mk_39664188.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,"Во честаците на планините го загубиле, држејќи се за дланка, својот пат.",common_voice_mk_39664212.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
го,"Во честаците на планините го загубиле, држејќи се за дланка, својот пат.",common_voice_mk_39664212.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,"Во честаците на планините го загубиле, држејќи се за дланка, својот пат.",common_voice_mk_39664212.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ќе,"Да можев, ќе се нурнев во него.",common_voice_mk_39664230.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,"Да можев, ќе се нурнев во него.",common_voice_mk_39664230.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
тоа,Тоа плискање тоа ти е како перење гаќи.,common_voice_mk_39664231.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
како,Тоа плискање тоа ти е како перење гаќи.,common_voice_mk_39664231.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
тоа,"Можеби небрежност, ако знаеше што е тоа.",common_voice_mk_39664232.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
што,"Можеби небрежност, ако знаеше што е тоа.",common_voice_mk_39664232.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ова,"Ова пиво е произведено во Германија, поточно во Баварија.",common_voice_mk_39664234.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Подобрувањето на системот за јавен превоз би помогнало да се избегне сообраќајниот метеж.,common_voice_mk_39664262.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Подобрувањето на системот за јавен превоз би помогнало да се избегне сообраќајниот метеж.,common_voice_mk_39664262.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
имаат,"Излегувам на улица, сите имаат зелени очи, возат коли и мјаукаат.",common_voice_mk_39664285.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
сите,"Излегувам на улица, сите имаат зелени очи, возат коли и мјаукаат.",common_voice_mk_39664285.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
како,"Задгробните ритуали се смешни како и казните, рече.",common_voice_mk_39664286.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,"Задгробните ритуали се смешни како и казните, рече.",common_voice_mk_39664286.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ќе,Ќе беше сосема друга ствар соседот да беше - зеленчукар.,common_voice_mk_39664287.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
беше,Ќе беше сосема друга ствар соседот да беше - зеленчукар.,common_voice_mk_39664287.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
беше,"Тој беше бујно дете и многу смел, отворен.",common_voice_mk_39664296.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
крајот,"Тргнувам кон крајот на гробиштата, кај свежите гробови.",common_voice_mk_39664297.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
тоа,Во тоа време имав гробишта со животни.,common_voice_mk_39664308.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
со,Во тоа време имав гробишта со животни.,common_voice_mk_39664308.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
една,Ниту една вистинска ѕвезда која барем малку би им се доближила на некогашните кралици.,common_voice_mk_39664309.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
која,Ниту една вистинска ѕвезда која барем малку би им се доближила на некогашните кралици.,common_voice_mk_39664309.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Ниту една вистинска ѕвезда која барем малку би им се доближила на некогашните кралици.,common_voice_mk_39664309.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
го,Поставката на овие три разговори го формира триаголникот на љубомората.,common_voice_mk_39699315.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Застанав до прозорецот и се обѕирав наоколу.,common_voice_mk_39699317.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
може,"Тоа и не може да се дознае, освен преку распрашување кај истите структури.",common_voice_mk_39699318.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,"Тоа и не може да се дознае, освен преку распрашување кај истите структури.",common_voice_mk_39699318.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
тоа,"Тоа и не може да се дознае, освен преку распрашување кај истите структури.",common_voice_mk_39699318.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
освен,"Тоа и не може да се дознае, освен преку распрашување кај истите структури.",common_voice_mk_39699318.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
преку,"Тоа и не може да се дознае, освен преку распрашување кај истите структури.",common_voice_mk_39699318.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Добра ствар е што не мора да му се менуваат гуми.,common_voice_mk_39699320.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
му,Добра ствар е што не мора да му се менуваат гуми.,common_voice_mk_39699320.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
што,Добра ствар е што не мора да му се менуваат гуми.,common_voice_mk_39699320.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
го,Постојат болки кои го загубиле помнењето и не се сеќаваат зошто болат.,common_voice_mk_39699340.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Постојат болки кои го загубиле помнењето и не се сеќаваат зошто болат.,common_voice_mk_39699340.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
кои,Постојат болки кои го загубиле помнењето и не се сеќаваат зошто болат.,common_voice_mk_39699340.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
постојат,Постојат болки кои го загубиле помнењето и не се сеќаваат зошто болат.,common_voice_mk_39699340.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
со,Парадоксот со феноменот на светлината е еден од најинтересните парадокси во науката.,common_voice_mk_39699341.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,"Станав од кревет, се измив, појадував и отидов да купувам чевли во град.",common_voice_mk_39699344.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
пред,Престани пред да сториме голема штета.,common_voice_mk_39699383.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Дечињата за свињата локалните ѓубриња ги собирале од селските клупчиња.,common_voice_mk_39699404.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ги,Дечињата за свињата локалните ѓубриња ги собирале од селските клупчиња.,common_voice_mk_39699404.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
години,Но кои патишта ќе ги препознаат како плодни младите луѓе на дваесетина години?,common_voice_mk_39699406.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ќе,Но кои патишта ќе ги препознаат како плодни младите луѓе на дваесетина години?,common_voice_mk_39699406.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
кои,Но кои патишта ќе ги препознаат како плодни младите луѓе на дваесетина години?,common_voice_mk_39699406.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ги,Но кои патишта ќе ги препознаат како плодни младите луѓе на дваесетина години?,common_voice_mk_39699406.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
како,Но кои патишта ќе ги препознаат како плодни младите луѓе на дваесетина години?,common_voice_mk_39699406.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
меѓутоа,"Меѓутоа зошто, чуму ѝ е школа на школа?",common_voice_mk_39699431.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
само,Палатата е толку голема што кралството е само нејзин мал дел.,common_voice_mk_39699432.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
што,Палатата е толку голема што кралството е само нејзин мал дел.,common_voice_mk_39699432.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Еквивалент на вториот стандард за убавина за жените не постои.,common_voice_mk_39699436.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
вториот,Еквивалент на вториот стандард за убавина за жените не постои.,common_voice_mk_39699436.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ја,"Колку ја сакам, таа е мојата миленица, мојот ангел.",common_voice_mk_39699449.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
дека,"Веќе одамна насетував дека во авион сѐ е лесно, поинакво.",common_voice_mk_39699450.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
веќе,"Веќе одамна насетував дека во авион сѐ е лесно, поинакво.",common_voice_mk_39699450.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
го,Русо го велича дивјакот како добар политички материјал.,common_voice_mk_39699451.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
како,Русо го велича дивјакот како добар политички материјал.,common_voice_mk_39699451.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
по,Потоа барав луѓе кои не се читаат по редовите и колоните.,common_voice_mk_39699469.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
кои,Потоа барав луѓе кои не се читаат по редовите и колоните.,common_voice_mk_39699469.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
потоа,Потоа барав луѓе кои не се читаат по редовите и колоните.,common_voice_mk_39699469.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Потоа барав луѓе кои не се читаат по редовите и колоните.,common_voice_mk_39699469.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
пред,Двете момчиња беа изведени пред судот.,common_voice_mk_39699470.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
различни,Ворхол ефективно меша различни мулти-принтани сцени во ефективен приказ на психоделични бои.,common_voice_mk_39699520.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
си,Си ги држиме в рака и се смееме.,common_voice_mk_39699539.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ги,Си ги држиме в рака и се смееме.,common_voice_mk_39699539.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Си ги држиме в рака и се смееме.,common_voice_mk_39699539.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Склоноста на јагнето да се претвори во волк е причина за голем број настани.,common_voice_mk_39699541.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
настани,Склоноста на јагнето да се претвори во волк е причина за голем број настани.,common_voice_mk_39699541.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Склоноста на јагнето да се претвори во волк е причина за голем број настани.,common_voice_mk_39699541.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Војната е ужасна состојба за живеење.,common_voice_mk_39699561.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
состојба,Војната е ужасна состојба за живеење.,common_voice_mk_39699561.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
други,"Некои мирно, тивко, други со пркос и кавга.",common_voice_mk_39699562.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
некои,"Некои мирно, тивко, други со пркос и кавга.",common_voice_mk_39699562.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
со,"Некои мирно, тивко, други со пркос и кавга.",common_voice_mk_39699562.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Карневалското поведение било можност да се ослободи тензијата од зададените општествени категории.,common_voice_mk_39699590.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,"Имав понуда и за некои многу високи позиции, но не ги прифатив.",common_voice_mk_39699592.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ги,"Имав понуда и за некои многу високи позиции, но не ги прифатив.",common_voice_mk_39699592.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
некои,"Имав понуда и за некои многу високи позиции, но не ги прифатив.",common_voice_mk_39699592.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
цел,Да не се пробиваме секогаш до крајната цел.,common_voice_mk_39699604.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Да не се пробиваме секогаш до крајната цел.,common_voice_mk_39699604.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
нејзината,Имало нешто животинско во силата на нејзината љубов.,common_voice_mk_39699605.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
првиот,"Првиот ден, така, поминаа малку, а сеќаваа многу умор.",common_voice_mk_39699626.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
така,"Првиот ден, така, поминаа малку, а сеќаваа многу умор.",common_voice_mk_39699626.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
првиот,"Наградата која најмногу ја посакувам е благодарноста од моите сограѓани, рекол првиот политичар.",common_voice_mk_39699648.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
која,"Наградата која најмногу ја посакувам е благодарноста од моите сограѓани, рекол првиот политичар.",common_voice_mk_39699648.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ја,"Наградата која најмногу ја посакувам е благодарноста од моите сограѓани, рекол првиот политичар.",common_voice_mk_39699648.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
го,Затоа Клавдиј лесно го наговорува да го предизвика Хамлет на двобој.,common_voice_mk_39699670.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
воопшто,Воопшто кај него не се знаеше лутина.,common_voice_mk_39699674.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Воопшто кај него не се знаеше лутина.,common_voice_mk_39699674.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
една,"Околу една илјадагодишна солза, како реликвија, ја подигнуваат неговата катедрала.",common_voice_mk_39699676.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
неговата,"Околу една илјадагодишна солза, како реликвија, ја подигнуваат неговата катедрала.",common_voice_mk_39699676.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
како,"Околу една илјадагодишна солза, како реликвија, ја подигнуваат неговата катедрала.",common_voice_mk_39699676.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
околу,"Околу една илјадагодишна солза, како реликвија, ја подигнуваат неговата катедрала.",common_voice_mk_39699676.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ја,"Околу една илјадагодишна солза, како реликвија, ја подигнуваат неговата катедрала.",common_voice_mk_39699676.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
луѓето,Јас сум тој кој ги разголува луѓето!,common_voice_mk_39699686.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ги,Јас сум тој кој ги разголува луѓето!,common_voice_mk_39699686.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
сонцето,Сонцето изгреа рано.,common_voice_mk_39699687.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
рано,Сонцето изгреа рано.,common_voice_mk_39699687.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ја,"Од планината, од пустината, дури и од шумата, ветерот само неа ја носи.",common_voice_mk_39699711.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
само,"Од планината, од пустината, дури и од шумата, ветерот само неа ја носи.",common_voice_mk_39699711.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
неа,"Од планината, од пустината, дури и од шумата, ветерот само неа ја носи.",common_voice_mk_39699711.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
го,Дали Петар го исчисти снегот?,common_voice_mk_39700569.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
започнува,Еден од нас започнува да и ги стиска цицките.,common_voice_mk_39700571.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ги,Еден од нас започнува да и ги стиска цицките.,common_voice_mk_39700571.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
му,Јас му кимнав со главата во знак на поздрав и тргнав.,common_voice_mk_39700573.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
со,Јас му кимнав со главата во знак на поздрав и тргнав.,common_voice_mk_39700573.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
нема,Никогаш нема да влезам во теретана затоа што јас сум теретана.,common_voice_mk_39700574.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
што,Никогаш нема да влезам во теретана затоа што јас сум теретана.,common_voice_mk_39700574.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,"Пишував за себе цел живот, секој ден.",common_voice_mk_39700822.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
цел,"Пишував за себе цел живот, секој ден.",common_voice_mk_39700822.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
заедно,На факултет имаше девојка која сакаше да патуваат заедно.,common_voice_mk_39700823.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
која,На факултет имаше девојка која сакаше да патуваат заедно.,common_voice_mk_39700823.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Тоа е пакт со кој филозофијата се претвора во брборење за истото.,common_voice_mk_39700995.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
тоа,Тоа е пакт со кој филозофијата се претвора во брборење за истото.,common_voice_mk_39700995.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
со,Тоа е пакт со кој филозофијата се претвора во брборење за истото.,common_voice_mk_39700995.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
